¸ñÍø±àºÅ,wkt×ø±ê
229,"MULTIPOLYGON (((438943.69714851433 4397540.4441694766, 439943.69714851433 4397540.4441694766, 439943.69714851433 4398540.4441694766, 438943.69714851433 4398540.4441694766, 438943.69714851433 4397540.4441694766)))"
230,"MULTIPOLYGON (((439943.69714851433 4397540.4441694766, 440943.69714851433 4397540.4441694766, 440943.69714851433 4398540.4441694766, 439943.69714851433 4398540.4441694766, 439943.69714851433 4397540.4441694766)))"
231,"MULTIPOLYGON (((440943.69714851433 4397540.4441694766, 441943.69714851433 4397540.4441694766, 441943.69714851433 4398540.4441694766, 440943.69714851433 4398540.4441694766, 440943.69714851433 4397540.4441694766)))"
232,"MULTIPOLYGON (((441943.69714851433 4397540.4441694766, 442943.69714851433 4397540.4441694766, 442943.69714851433 4398540.4441694766, 441943.69714851433 4398540.4441694766, 441943.69714851433 4397540.4441694766)))"
233,"MULTIPOLYGON (((442943.69714851433 4397540.4441694766, 443943.69714851433 4397540.4441694766, 443943.69714851433 4398540.4441694766, 442943.69714851433 4398540.4441694766, 442943.69714851433 4397540.4441694766)))"
234,"MULTIPOLYGON (((443943.69714851433 4397540.4441694766, 444943.69714851433 4397540.4441694766, 444943.69714851433 4398540.4441694766, 443943.69714851433 4398540.4441694766, 443943.69714851433 4397540.4441694766)))"
235,"MULTIPOLYGON (((444943.69714851433 4397540.4441694766, 445943.69714851433 4397540.4441694766, 445943.69714851433 4398540.4441694766, 444943.69714851433 4398540.4441694766, 444943.69714851433 4397540.4441694766)))"
236,"MULTIPOLYGON (((445943.69714851433 4397540.4441694766, 446943.69714851433 4397540.4441694766, 446943.69714851433 4398540.4441694766, 445943.69714851433 4398540.4441694766, 445943.69714851433 4397540.4441694766)))"
237,"MULTIPOLYGON (((446943.69714851433 4397540.4441694766, 447943.69714851433 4397540.4441694766, 447943.69714851433 4398540.4441694766, 446943.69714851433 4398540.4441694766, 446943.69714851433 4397540.4441694766)))"
238,"MULTIPOLYGON (((447943.69714851433 4397540.4441694766, 448943.69714851433 4397540.4441694766, 448943.69714851433 4398540.4441694766, 447943.69714851433 4398540.4441694766, 447943.69714851433 4397540.4441694766)))"
239,"MULTIPOLYGON (((448943.69714851433 4397540.4441694766, 449943.69714851433 4397540.4441694766, 449943.69714851433 4398540.4441694766, 448943.69714851433 4398540.4441694766, 448943.69714851433 4397540.4441694766)))"
240,"MULTIPOLYGON (((449943.69714851433 4397540.4441694766, 450943.69714851433 4397540.4441694766, 450943.69714851433 4398540.4441694766, 449943.69714851433 4398540.4441694766, 449943.69714851433 4397540.4441694766)))"
241,"MULTIPOLYGON (((450943.69714851433 4397540.4441694766, 451943.69714851433 4397540.4441694766, 451943.69714851433 4398540.4441694766, 450943.69714851433 4398540.4441694766, 450943.69714851433 4397540.4441694766)))"
242,"MULTIPOLYGON (((451943.69714851433 4397540.4441694766, 452943.69714851433 4397540.4441694766, 452943.69714851433 4398540.4441694766, 451943.69714851433 4398540.4441694766, 451943.69714851433 4397540.4441694766)))"
243,"MULTIPOLYGON (((452943.69714851433 4397540.4441694766, 453943.69714851433 4397540.4441694766, 453943.69714851433 4398540.4441694766, 452943.69714851433 4398540.4441694766, 452943.69714851433 4397540.4441694766)))"
244,"MULTIPOLYGON (((453943.69714851433 4397540.4441694766, 454943.69714851433 4397540.4441694766, 454943.69714851433 4398540.4441694766, 453943.69714851433 4398540.4441694766, 453943.69714851433 4397540.4441694766)))"
245,"MULTIPOLYGON (((454943.69714851433 4397540.4441694766, 455943.69714851433 4397540.4441694766, 455943.69714851433 4398540.4441694766, 454943.69714851433 4398540.4441694766, 454943.69714851433 4397540.4441694766)))"
265,"MULTIPOLYGON (((421943.69714851433 4398540.4441694766, 422943.69714851433 4398540.4441694766, 422943.69714851433 4399540.4441694766, 421943.69714851433 4399540.4441694766, 421943.69714851433 4398540.4441694766)))"
266,"MULTIPOLYGON (((422943.69714851433 4398540.4441694766, 423943.69714851433 4398540.4441694766, 423943.69714851433 4399540.4441694766, 422943.69714851433 4399540.4441694766, 422943.69714851433 4398540.4441694766)))"
